z	toggle position lock
M	barmode (bar, grat, nc-grat etc)
[]	+/- param #1
{}	+/- param #2
B	toggle color blink
b	toggle lum blink
iI	+/- inten
pP	+/- blink period
u	toggle on/off
123456	set colors (nwkrgb)
nm	prev/next color (nwkrgb)
8	rotate CCW
9	rotate CW
qQ	+/++ length
wW	-/-- length
eE	+/++ width
rR	-/-- width
d	toggle drift
j	toggle jitter
tT	+/- drift amplitude
yY	+/- drift frequency
o	toggle offset
